,datetime,open,high,low,close,volume
0,2019-09-02,10000.0,10412.65,10000.0,10391.63,3096.291
1,2019-09-09,10316.62,10475.54,9884.31,10302.22,110846.484
2,2019-09-16,10302.0,10353.81,9530.02,10023.04,160591.544
3,2019-09-23,8061.98,10046.91,7700.67,8041.96,279795.272
4,2019-09-30,8042.08,8499.0,7709.01,7852.79,257976.889
5,2019-10-07,7851.01,8788.0,7764.42,8274.66,367955.166
6,2019-10-14,8274.33,8408.62,7812.0,8218.23,508975.286
7,2019-10-21,8218.23,10408.48,7172.76,9533.32,881463.175
8,2019-10-28,9534.37,9930.13,8933.0,9197.88,697075.617
9,2019-11-04,9197.86,9550.0,8669.85,9041.31,665125.812
10,2019-11-11,9041.31,9072.91,8355.78,8504.04,632991.917
11,2019-11-18,8504.13,8504.71,6762.73,6900.86,1196506.081
12,2019-11-25,6899.77,7850.0,6510.19,7387.38,1524870.441
13,2019-12-02,7388.0,7800.0,7070.0,7508.2,983668.839
14,2019-12-09,7507.87,7676.48,7004.77,7115.0,766967.38
15,2019-12-16,7115.45,7517.61,6427.0,7502.92,1031936.164
16,2019-12-23,7502.92,7691.0,7078.89,7383.67,901439.862
17,2019-12-30,7383.68,7495.0,6863.44,7354.36,774521.268
18,2020-01-06,7354.36,8468.42,7345.0,8186.7,1484603.363
19,2020-01-13,8186.22,9205.3,8053.78,8705.85,1316693.038
20,2020-01-20,8705.98,8820.0,8247.0,8611.21,850097.409
21,2020-01-27,8611.21,9599.0,8565.0,9338.2,1180388.341
22,2020-02-03,9340.49,10184.34,9105.0,10167.38,1122176.4
23,2020-02-10,10167.37,10540.0,9626.64,9921.86,1171759.356
24,2020-02-17,9921.87,10286.0,9293.07,9943.12,936567.255
25,2020-02-24,9943.12,10000.0,8409.0,8537.84,1268174.767
26,2020-03-02,8537.84,9204.0,7997.7,8038.46,1065944.442
27,2020-03-09,8038.99,8182.31,3621.81,5357.32,3204795.803
28,2020-03-16,5354.81,6911.0,4413.62,5810.17,3303441.243
29,2020-03-23,5810.3,6960.71,5670.0,5876.27,2461138.433
30,2020-03-30,5876.27,7290.0,5850.0,6768.9,2542714.864
31,2020-04-06,6768.9,7457.0,6741.0,6900.52,2493042.328
32,2020-04-13,6900.19,7290.0,6465.33,7118.03,2263527.378
33,2020-04-20,7118.04,7802.38,6735.95,7694.17,2303688.83
34,2020-04-27,7693.63,9479.77,7623.98,8900.0,3488311.037
35,2020-05-04,8899.99,10080.0,7940.0,8719.53,3809614.655
36,2020-05-11,8723.23,9950.0,8151.12,9678.57,3249863.08
37,2020-05-18,9677.31,9958.67,8674.0,8711.37,2353150.109
38,2020-05-25,8711.37,9753.0,8623.38,9446.43,1892020.349
39,2020-06-01,9446.49,10497.25,9264.15,9743.92,1781429.763
40,2020-06-08,9743.92,10015.99,9055.07,9339.61,1433222.938
41,2020-06-15,9339.7,9595.0,8888.43,9293.51,1509977.518
42,2020-06-22,9293.39,9795.0,8816.4,9114.0,1639283.625
43,2020-06-29,9114.01,9293.0,8900.0,9071.86,1049228.403
44,2020-07-06,9071.87,9470.0,9058.1,9300.69,1029744.937
45,2020-07-13,9300.7,9345.0,9044.02,9210.51,737747.854
46,2020-07-20,9210.68,10300.0,9131.01,9939.69,1074581.53
47,2020-07-27,9939.68,12154.25,9928.61,11079.72,3017281.552
48,2020-08-03,11080.7,11920.0,10923.0,11685.99,1492775.024
49,2020-08-10,11685.99,12100.0,11127.0,11921.23,1636310.535
50,2020-08-17,11921.32,12499.42,11385.06,11654.0,1484444.409
51,2020-08-24,11654.0,11831.96,11130.0,11714.14,1126558.79
52,2020-08-31,11714.13,12061.07,9808.58,10258.13,2129256.684
53,2020-09-07,10258.13,10580.0,9842.01,10327.72,1307550.016
54,2020-09-14,10327.72,11177.0,10241.57,10914.28,1305000.991
55,2020-09-21,10915.52,10980.69,10132.21,10768.0,1361333.926
56,2020-09-28,10768.0,11024.0,10371.03,10660.16,1112422.487
57,2020-10-05,10660.16,11494.0,10510.66,11369.59,1130181.676
58,2020-10-12,11369.59,11732.0,11157.0,11501.1,1262233.929
59,2020-10-19,11501.5,13369.0,11404.01,13023.81,2097989.994
60,2020-10-26,13024.21,14140.0,12729.0,13752.86,2466497.961
61,2020-11-02,13752.87,15984.2,13195.0,15473.2,3153224.529
62,2020-11-09,15473.2,16479.99,14822.0,15952.27,2303969.205
63,2020-11-16,15951.93,18986.0,15862.0,18435.2,3130110.809
64,2020-11-23,18434.17,19554.19,16181.0,18181.09,3042090.201
65,2020-11-30,18180.43,19956.0,18050.0,19375.02,2253295.157
66,2020-12-07,19375.0,19446.36,17555.0,19175.07,1791788.874
67,2020-12-14,19175.06,24376.0,19004.72,23472.96,2678860.144
68,2020-12-21,23472.96,28459.84,21920.0,26305.64,2627143.232
69,2020-12-28,26301.76,34832.25,25913.01,33054.53,2460453.874
70,2021-01-04,33053.93,42125.51,27800.0,38221.67,3119739.273
71,2021-01-11,38200.01,40189.39,30448.0,35869.83,3133070.537
72,2021-01-18,35875.72,37961.0,28880.0,32275.63,2313482.811
73,2021-01-25,32274.88,38641.1,29240.0,33126.21,2598835.991
74,2021-02-01,33125.11,40992.4,32322.47,38849.25,1831337.339
75,2021-02-08,38849.24,49875.16,38037.0,48655.21,2188250.932
76,2021-02-15,48655.21,58472.14,45349.21,57487.43,1785078.516
77,2021-02-22,57475.5,57591.87,43002.05,45163.36,2979807.695
78,2021-03-01,45162.64,52681.51,44972.49,50995.27,2144594.339
79,2021-03-08,50991.35,61950.0,49310.0,59037.12,2247594.591
80,2021-03-15,59037.11,60740.0,53335.0,57415.18,2133275.094
81,2021-03-22,57415.19,58500.0,50452.08,55805.08,2087279.561
82,2021-03-29,55804.16,60397.85,54931.15,58234.61,1583892.047
83,2021-04-05,58234.61,61800.0,55536.07,60090.2,1297659.8
84,2021-04-12,60093.26,64986.11,50050.0,56140.05,1949480.599
85,2021-04-19,56140.05,57532.7,46930.43,49063.94,2480262.616
86,2021-04-26,49063.94,58488.17,48763.0,56630.33,1842400.922
87,2021-05-03,56630.34,59590.96,52880.38,58292.53,2021025.882
88,2021-05-10,58292.53,59654.0,43866.0,46429.28,3153899.206
89,2021-05-17,46429.28,46655.0,28688.0,34651.6,6064178.467
90,2021-05-24,34656.53,40900.0,33356.0,35651.81,4505211.854
91,2021-05-31,35651.8,39470.0,34150.0,35801.71,3950308.85
92,2021-06-07,35801.71,39374.18,30969.0,38993.65,5304319.373
93,2021-06-14,38993.66,41413.0,33312.0,35588.64,4876593.304
94,2021-06-21,35588.63,35746.28,28780.01,34687.71,7746338.623
95,2021-06-28,34687.71,36623.0,32672.04,35280.16,4617547.366
96,2021-07-05,35280.17,35281.55,32066.0,34253.81,3727312.197
97,2021-07-12,34253.88,34662.73,31018.59,31767.0,3380985.11
98,2021-07-19,31765.23,35400.0,29242.24,35370.66,3458141.031
99,2021-07-26,35370.67,48168.6,35185.49,39846.78,4468076.372
100,2021-08-02,39846.78,45350.0,37291.0,43787.71,3985788.573
101,2021-08-09,43787.71,48300.0,42785.0,47006.02,3128981.054
102,2021-08-16,47006.02,49833.0,43938.38,49273.28,2765858.08
103,2021-08-23,49273.28,50600.0,46280.0,48795.41,2560264.54
104,2021-08-30,48795.42,51950.0,46550.99,51799.57,2423617.744
105,2021-09-06,51799.56,52950.0,42088.0,46046.73,2567904.998
106,2021-09-13,46048.02,48850.0,43323.93,47256.91,1877864.572
107,2021-09-20,47256.92,47345.0,39503.58,43150.0,3255184.139
